sensor_configuration,calibration_strategy,labeled_target_days,n_runs,n_test_partitions,target_exposure_hours_p25,target_exposure_hours_p50,target_exposure_hours_p75,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_state_macro_f1_p25,stationary_state_macro_f1_p50,stationary_state_macro_f1_p75,charging_precision_p25,charging_precision_p50,charging_precision_p75,charging_recall_p25,charging_recall_p50,charging_recall_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75
M,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.5778159418709852,0.6171006960094713,0.6609905216933396,0.4854385786360299,0.5118575607975804,0.5550774954378841,0.4233017335937779,0.4593554215818241,0.5072215738037702,0.242814679893994,0.2891576848778961,0.3520946083852251,0.0025252525252525,0.2940734852499558,0.650159051474841,0.0002202643171806,0.058053009716385,0.1189570362580938,0.0004051863857374,0.0998117548100065,0.1879704136205289,0.9666381399160492,0.9697042341220424,0.9745509675285298
M,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.5842294871886315,0.6556263362671015,0.7255678557273946,0.5085750420496571,0.5468807022973237,0.627543555649221,0.4427965933224891,0.4872548642824544,0.6089157515160624,0.2651824846859929,0.3288501084257674,0.4860420556755697,0.0141941391941391,0.433517156862745,0.7522686025408349,0.001101321585903,0.0716446911336931,0.4394694776583271,0.0020134820446793,0.1187581913499344,0.5623028706032658,0.967813049624242,0.9700925828083722,0.9772300469483568
M,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.5895769344624082,0.6642975129273005,0.7487204295952025,0.5081630273026372,0.5554483512283298,0.6380831024412436,0.4473816674193879,0.4805096868421592,0.6265731711488717,0.2721062814813946,0.3162144174516116,0.5091690102577909,0.0,0.4560787671232876,0.7330592746652801,0.0,0.0444372829161743,0.52854875188254,0.0,0.0805332840025326,0.5957485903682759,0.9697132795758096,0.9735281009378036,0.9779171886993732
M,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.6084714921148403,0.7141188959660296,0.7942276587141124,0.54209495191449,0.6217446563256015,0.7105597044417613,0.4531067224709711,0.6099886110614543,0.695147344077669,0.2801086249575356,0.4880878379203144,0.6009888175599111,0.0184156502837821,0.7199286393204027,0.8207100591715977,0.0010202465820234,0.3065023922258856,0.6029029462738302,0.001909978708612,0.4478466977145279,0.6949350829569743,0.9710287065925634,0.976365504368983,0.9803492616360904
M,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.6760072833669383,0.7623180291153415,0.7961825339648042,0.5950868128257062,0.6885923441005454,0.760517891014754,0.5484297243637782,0.6601824303790702,0.72397374360732,0.404893140771001,0.5555162092119443,0.6397621233840087,0.6683653811421622,0.8188779682588552,0.8689865372660722,0.2027458492975734,0.501078360891445,0.6039861351819757,0.3277928440206455,0.6160934453132543,0.7010209866555187,0.9751244253288116,0.9784853265672844,0.9826296699383812
M,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.7779193205944799,0.7879805897723031,0.798625151637687,0.7173698915004216,0.7688258141915117,0.7763852236674472,0.6848314062899705,0.7225508544070277,0.7265537006377513,0.5877098080500079,0.6356533402886092,0.6408720128620615,0.8666666666666667,0.8792270531400966,0.8825757575757576,0.5039539899352984,0.5313868613138686,0.6057192374350087,0.6536130536130537,0.6624203821656051,0.7183967112024666,0.97744014732965,0.9824281150159744,0.9832433967622836
M+G,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.5462859275849198,0.5527699150828953,0.5931344963421497,0.4146280689896995,0.420556188211748,0.4779777106367778,0.4095405931688926,0.4337469016903965,0.4352339290031444,0.2158431298075536,0.2476290783381247,0.2494488883640618,0.0,0.0131578947368421,0.3407407407407407,0.0,0.0008665511265164,0.0992092020129403,0.0,0.0016260162601626,0.153674832962138,0.9906329832529096,0.99102159669983,0.992100371747212
M+G,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.5645976546704408,0.6233477601377815,0.6897521354080797,0.4518419851647377,0.5290515465057066,0.5889352989059478,0.4219547340901618,0.4660530630517052,0.557754049317774,0.2325666479617238,0.2916069022384124,0.4125849749858193,0.0009057971014492,0.3658313204508856,0.6724039377580184,0.0001824817518248,0.1132278936017253,0.3200381693655799,0.0003037667071688,0.1774735632367849,0.4244100984673915,0.988878676731064,0.9902753006695256,0.9912384626788996
M+G,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.5776409107876074,0.6425713642612216,0.719296590916474,0.4891262491089659,0.5596993922436987,0.616124172400229,0.4347699181118801,0.5070099772007435,0.6163618246230502,0.2493959560348628,0.3473793339894532,0.4915710811003821,0.0160799168152108,0.5882062088444946,0.7183146141996856,0.0010831889081455,0.1485911529417813,0.4747305468759882,0.0020255805053141,0.2303314939821724,0.5722020608849079,0.9887436465125596,0.9903199989417149,0.9917003188313852
M+G,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.5900493962609201,0.6645252907633659,0.7277169146072331,0.4993535375698687,0.5821761278919365,0.6410133721668313,0.4367556340297999,0.544496009487708,0.6305665798666923,0.2518554587410512,0.3965396663169538,0.5103133874760222,0.0128129312044154,0.6518516531419758,0.7460563933525963,0.0008665511265164,0.2209450830140485,0.5213503649635036,0.001619639759698,0.3373530754307885,0.6140523623452327,0.9893379608037326,0.9906738040659516,0.9916026856892914
M+G,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.6381497915198491,0.7119263295791993,0.798944530889403,0.5670176093784118,0.6322901467977735,0.7087279052907685,0.4746202483336902,0.6156111394761402,0.6846629561833354,0.3024550722578321,0.4903727860251617,0.5828340994016675,0.3785414851916376,0.7219601005179752,0.821644810235568,0.02803738317757,0.3265183507192064,0.6077882762049173,0.0530746949443158,0.4497332155477032,0.7018091268881209,0.9896935236585525,0.9911716129374366,0.9920801898735594
M+G,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.6906664399863992,0.7795819335572975,0.8088767045419383,0.6455282008776426,0.6967325828648901,0.7477993848010608,0.5922132761304643,0.6778551139534614,0.7233349418323421,0.459931332448708,0.5742452829812041,0.6347003210865765,0.7189778672032193,0.8058953448861705,0.8578030906921059,0.35492700729927,0.552919708029197,0.6172817144629936,0.4586587356860878,0.6491858822365594,0.7150914097851536,0.9900307681748683,0.9915523661788486,0.9927939364511824
M+G,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.803471444568869,0.8117670845127376,0.8395103706222373,0.7471653284643796,0.7506085347486322,0.7763764592446805,0.7013010303093781,0.728897003099284,0.7673883909554471,0.6048938808337273,0.6404459642026549,0.6932046419982756,0.8137028483448807,0.8213944603629417,0.854679802955665,0.6013864818024264,0.6182602444284687,0.6998722860791826,0.7054963084495488,0.7060020345879959,0.8011695906432749,0.9905224787363304,0.9909112095082732,0.9914627205463858
